Unnamed: 0,csv,primary_key,2016_11_15,2016_11_23
8625.0,presidential_general_election_2016.csv,Overall 2016 Utah Presidential Election Results__republican__D. Trump,82.5,94.3
8626.0,presidential_general_election_2016.csv,Overall 2016 Utah Presidential Election Results__democrat__H. Clinton,82.5,94.3
8627.0,presidential_general_election_2016.csv,Overall 2016 Utah Presidential Election Results__independent_or_other__E. McMullin,82.5,94.3
8628.0,presidential_general_election_2016.csv,Overall 2016 Utah Presidential Election Results__independent_or_other__G. Johnson,82.5,94.3
8629.0,presidential_general_election_2016.csv,Overall 2016 Utah Presidential Election Results__independent_or_other__J. Stein,82.5,94.3
8630.0,presidential_general_election_2016.csv,Overall 2016 Utah Presidential Election Results__independent_or_other__D. Castle,82.5,94.3
8631.0,presidential_general_election_2016.csv,Overall 2016 Utah Presidential Election Results__independent_or_other__R. Giordani,82.5,94.3
8632.0,presidential_general_election_2016.csv,Overall 2016 Utah Presidential Election Results__independent_or_other__R. De La Fuente,82.5,94.3
8633.0,presidential_general_election_2016.csv,Overall 2016 Utah Presidential Election Results__independent_or_other__A. Kennedy,82.5,94.3
8634.0,presidential_general_election_2016.csv,Overall 2016 Utah Presidential Election Results__independent_or_other__M. Moorehead,82.5,94.3
11341.0,presidential_general_election_2016_by_county.csv,District of Columbia__District of Columbia__democrat__H. Clinton,100.0,0.0
11342.0,presidential_general_election_2016_by_county.csv,District of Columbia__District of Columbia__republican__D. Trump,100.0,0.0
11343.0,presidential_general_election_2016_by_county.csv,District of Columbia__District of Columbia__independent_or_other__G. Johnson,100.0,0.0
11344.0,presidential_general_election_2016_by_county.csv,District of Columbia__District of Columbia__independent_or_other__J. Stein,100.0,0.0
24463.0,presidential_general_election_2016_by_county.csv,Utah__Box Elder County__republican__D. Trump,81.1,100.0
24464.0,presidential_general_election_2016_by_county.csv,Utah__Box Elder County__independent_or_other__E. McMullin,81.1,100.0
24465.0,presidential_general_election_2016_by_county.csv,Utah__Box Elder County__democrat__H. Clinton,81.1,100.0
24466.0,presidential_general_election_2016_by_county.csv,Utah__Box Elder County__independent_or_other__G. Johnson,81.1,100.0
24467.0,presidential_general_election_2016_by_county.csv,Utah__Box Elder County__independent_or_other__D. Castle,81.1,100.0
24468.0,presidential_general_election_2016_by_county.csv,Utah__Box Elder County__independent_or_other__J. Stein,81.1,100.0
24469.0,presidential_general_election_2016_by_county.csv,Utah__Box Elder County__independent_or_other__R. Giordani,81.1,100.0
24470.0,presidential_general_election_2016_by_county.csv,Utah__Box Elder County__independent_or_other__R. De La Fuente,81.1,100.0
24471.0,presidential_general_election_2016_by_county.csv,Utah__Box Elder County__independent_or_other__M. Moorehead,81.1,100.0
24472.0,presidential_general_election_2016_by_county.csv,Utah__Box Elder County__independent_or_other__A. Kennedy,81.1,100.0
87621.0,senate_primaries_2016_by_county.csv,Iowa__O-Brien County__democrat__P. Judge,100.0,0.0
87622.0,senate_primaries_2016_by_county.csv,Iowa__O-Brien County__democrat__R. Hogg,100.0,0.0
87623.0,senate_primaries_2016_by_county.csv,Iowa__O-Brien County__democrat__B. Krause,100.0,0.0
87624.0,senate_primaries_2016_by_county.csv,Iowa__O-Brien County__democrat__T. Fiegen,100.0,0.0
87625.0,senate_primaries_2016_by_county.csv,Iowa__O-Brien County__republican__C. Grassley,100.0,0.0
0.0,governor_primaries_2016.csv,Overall Oregon Governor Primaries Results__democrat__K. Brown,0.0,92.8
0.0,governor_primaries_2016.csv,Overall Oregon Governor Primaries Results__democrat__J. Bell,0.0,92.8
0.0,governor_primaries_2016.csv,Overall Oregon Governor Primaries Results__democrat__D. Stauffer,0.0,92.8
0.0,governor_primaries_2016.csv,Overall Oregon Governor Primaries Results__democrat__S. Johnson,0.0,92.8
0.0,governor_primaries_2016.csv,Overall Oregon Governor Primaries Results__democrat__K. Forsythe,0.0,92.8
0.0,governor_primaries_2016.csv,Overall Oregon Governor Primaries Results__democrat__C. Chance,0.0,92.8
0.0,governor_primaries_2016.csv,Overall Oregon Governor Primaries Results__republican__B. Pierce,0.0,92.1
0.0,governor_primaries_2016.csv,Overall Oregon Governor Primaries Results__republican__A. Alley,0.0,92.1
0.0,governor_primaries_2016.csv,Overall Oregon Governor Primaries Results__republican__B. Cuff,0.0,92.1
0.0,governor_primaries_2016.csv,Overall Oregon Governor Primaries Results__republican__B. Niemeyer,0.0,92.1
0.0,governor_primaries_2016.csv,Overall Oregon Governor Primaries Results__republican__B. Forthan,0.0,92.1
0.0,governor_primaries_2016_by_county.csv,Oregon__Baker County__democrat__K. Brown,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Baker County__democrat__S. Johnson,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Baker County__democrat__J. Bell,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Baker County__democrat__D. Stauffer,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Baker County__democrat__K. Forsythe,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Baker County__democrat__C. Chance,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Baker County__republican__B. Pierce,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Baker County__republican__A. Alley,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Baker County__republican__B. Cuff,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Baker County__republican__B. Niemeyer,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Baker County__republican__B. Forthan,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Benton County__democrat__K. Brown,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Benton County__democrat__J. Bell,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Benton County__democrat__D. Stauffer,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Benton County__democrat__S. Johnson,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Benton County__democrat__K. Forsythe,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Benton County__democrat__C. Chance,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Benton County__republican__B. Pierce,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Benton County__republican__A. Alley,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Benton County__republican__B. Cuff,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Benton County__republican__B. Niemeyer,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Benton County__republican__B. Forthan,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Clackamas County__democrat__K. Brown,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Clackamas County__democrat__J. Bell,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Clackamas County__democrat__D. Stauffer,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Clackamas County__democrat__S. Johnson,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Clackamas County__democrat__K. Forsythe,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Clackamas County__democrat__C. Chance,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Clackamas County__republican__B. Pierce,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Clackamas County__republican__A. Alley,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Clackamas County__republican__B. Cuff,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Clackamas County__republican__B. Niemeyer,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Clackamas County__republican__B. Forthan,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Clatsop County__democrat__K. Brown,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Clatsop County__democrat__J. Bell,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Clatsop County__democrat__S. Johnson,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Clatsop County__democrat__D. Stauffer,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Clatsop County__democrat__K. Forsythe,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Clatsop County__democrat__C. Chance,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Clatsop County__republican__B. Pierce,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Clatsop County__republican__A. Alley,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Clatsop County__republican__B. Cuff,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Clatsop County__republican__B. Niemeyer,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Clatsop County__republican__B. Forthan,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Columbia County__democrat__K. Brown,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Columbia County__democrat__J. Bell,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Columbia County__democrat__S. Johnson,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Columbia County__democrat__K. Forsythe,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Columbia County__democrat__D. Stauffer,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Columbia County__democrat__C. Chance,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Columbia County__republican__B. Pierce,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Columbia County__republican__A. Alley,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Columbia County__republican__B. Cuff,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Columbia County__republican__B. Niemeyer,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Columbia County__republican__B. Forthan,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Coos County__democrat__K. Brown,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Coos County__democrat__J. Bell,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Coos County__democrat__D. Stauffer,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Coos County__democrat__S. Johnson,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Coos County__democrat__K. Forsythe,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Coos County__democrat__C. Chance,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Coos County__republican__B. Pierce,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Coos County__republican__A. Alley,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Coos County__republican__B. Cuff,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Coos County__republican__B. Niemeyer,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Coos County__republican__B. Forthan,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Crook County__democrat__K. Brown,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Crook County__democrat__J. Bell,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Crook County__democrat__D. Stauffer,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Crook County__democrat__S. Johnson,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Crook County__democrat__K. Forsythe,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Crook County__democrat__C. Chance,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Crook County__republican__B. Pierce,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Crook County__republican__A. Alley,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Crook County__republican__B. Cuff,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Crook County__republican__B. Niemeyer,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Crook County__republican__B. Forthan,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Curry County__democrat__K. Brown,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Curry County__democrat__J. Bell,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Curry County__democrat__D. Stauffer,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Curry County__democrat__S. Johnson,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Curry County__democrat__K. Forsythe,0.0,100.0
0.0,governor_primaries_2016_by_county.csv,Oregon__Curry County__democrat__C. Chance,0.0,100.0
